id,never,rarely,sometimes,frequently,always,id_county
148,0.085,0.128,0.153,0.298,0.337,1648.0
149,0.10300000000000001,0.032,0.195,0.263,0.40700000000000003,1665.0
150,0.035,0.016,0.19399999999999998,0.201,0.5539999999999999,1714.0
151,0.07400000000000001,0.121,0.106,0.201,0.499,1732.0
152,0.14800000000000002,0.11,0.12,0.14300000000000002,0.479,1741.0
153,0.048,0.045,0.136,0.297,0.474,1753.0
154,0.075,0.08800000000000001,0.159,0.114,0.564,1797.0
155,0.171,0.11199999999999999,0.11900000000000001,0.10800000000000001,0.49,1840.0
156,0.064,0.124,0.106,0.21899999999999997,0.48700000000000004,1971.0
157,0.033,0.109,0.134,0.284,0.44,1984.0
158,0.068,0.128,0.127,0.271,0.406,2006.0
159,0.081,0.095,0.136,0.166,0.521,2029.0
160,0.14300000000000002,0.048,0.084,0.22399999999999998,0.501,2108.0
161,0.107,0.14,0.084,0.261,0.408,2122.0
162,0.151,0.09699999999999999,0.06,0.242,0.449,2224.0
163,0.098,0.051,0.08,0.36700000000000005,0.40399999999999997,2284.0
164,0.052000000000000005,0.061,0.134,0.276,0.47700000000000004,2300.0
165,0.064,0.061,0.2,0.17600000000000002,0.501,2322.0
166,0.077,0.098,0.141,0.287,0.397,2347.0
167,0.18,0.08,0.217,0.076,0.446,2360.0
168,0.08199999999999999,0.151,0.18100000000000002,0.285,0.302,2367.0
169,0.062,0.17,0.10300000000000001,0.273,0.391,2386.0
170,0.027999999999999997,0.027000000000000003,0.126,0.175,0.644,2408.0
171,0.051,0.145,0.203,0.289,0.311,2434.0
172,0.087,0.006999999999999999,0.289,0.267,0.35,2720.0
173,0.066,0.044000000000000004,0.154,0.212,0.524,2551.0
174,0.155,0.14,0.124,0.12300000000000001,0.45799999999999996,2618.0
175,0.1,0.08800000000000001,0.125,0.149,0.5379999999999999,2626.0
176,0.121,0.142,0.157,0.20800000000000002,0.37200000000000005,2627.0
177,0.12,0.09300000000000001,0.155,0.165,0.467,2638.0
178,0.067,0.158,0.22,0.222,0.33299999999999996,2645.0
179,0.067,0.092,0.11,0.23399999999999999,0.498,2774.0
180,0.11599999999999999,0.179,0.098,0.262,0.344,2928.0
181,0.033,0.06,0.096,0.272,0.539,3007.0
182,0.034,0.027999999999999997,0.10099999999999999,0.18600000000000003,0.6509999999999999,3078.0
183,0.026000000000000002,0.054000000000000006,0.152,0.27699999999999997,0.491,3165.0
184,0.059000000000000004,0.048,0.20800000000000002,0.231,0.45399999999999996,3224.0
185,0.11599999999999999,0.1,0.11199999999999999,0.198,0.474,3255.0
186,0.019,0.008,0.055,0.12300000000000001,0.795,30.0
187,0.025,0.085,0.08800000000000001,0.19,0.612,58.0
188,0.045,0.013000000000000001,0.099,0.188,0.655,59.0
189,0.015,0.043,0.111,0.204,0.626,342.0
190,0.045,0.019,0.098,0.276,0.562,351.0
191,0.027000000000000003,0.031,0.092,0.151,0.7,636.0
192,0.018000000000000002,0.016,0.039,0.121,0.8059999999999999,646.0
193,0.01,0.135,0.11199999999999999,0.196,0.547,780.0
194,0.027999999999999997,0.042,0.07200000000000001,0.183,0.675,881.0
195,0.021,0.022000000000000002,0.059000000000000004,0.156,0.741,1015.0
196,0.027999999999999997,0.026000000000000002,0.146,0.20600000000000002,0.594,1076.0
197,0.042,0.006,0.018000000000000002,0.069,0.865,1349.0
198,0.001,0.005,0.03,0.128,0.836,1368.0
199,0.033,0.011000000000000001,0.008,0.057999999999999996,0.889,1373.0
200,0.022000000000000002,0.027999999999999997,0.105,0.177,0.6679999999999999,1531.0
201,0.075,0.016,0.049,0.094,0.7659999999999999,1548.0
202,0.003,0.004,0.006999999999999999,0.136,0.8490000000000001,1600.0
203,0.064,0.068,0.162,0.225,0.48200000000000004,1635.0
